day,daily_pv_generation,daily_pv_forecast,pv_forecast_rmse,pv_forecast_error_mean,daily_cost,daily_cost_no_pv,cost_savings,self_consumption_ratio,self_generation_ratio,net_import,net_export,pv_consumed,total_pv_generation,total_load
2015-10-16,11.690999999999999,15063.25,1114.9478726112227,628.1225416666666,72.7275783,73.21879622,0.49121791999999687,1.0,0.007002670250960462,"[ 53.239  53.469  53.503  53.029  53.304  52.253  50.257  55.788  87.265
  96.751  96.915  94.512  91.212  99.881 105.443  91.238  70.258  61.836
  61.126  58.514  58.344  53.404  52.968  53.306]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.    0.    0.    0.    0.    0.    0.    0.    0.041 0.14  0.662 0.654
 2.196 3.798 1.432 1.695 0.665 0.324 0.084 0.    0.    0.    0.    0.   ]",11.690999999999999,1669.506
2015-10-17,13.585999999999999,41825.75,3037.0995654533344,1743.3056666666664,45.37043811000001,45.827752520000004,0.45731440999999506,1.0,0.010784080265434742,"[52.982 53.301 53.089 52.739 50.573 49.605 50.735 53.059 49.498 50.226
 50.953 51.495 50.54  50.52  51.139 49.575 53.146 52.236 54.135 53.388
 53.026 53.537 53.012 53.725]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.    0.    0.    0.    0.    0.    0.    0.    0.257 0.881 1.468 1.754
 2.336 2.574 2.236 1.508 0.332 0.233 0.007 0.    0.    0.    0.    0.   ]",13.585999999999999,1259.8200000000002
2015-10-18,11.168000000000001,39420.5,2903.68378261062,1642.9861666666666,44.54313205,44.868880819999994,0.325748769999997,1.0,0.00875058863536106,"[53.342 52.851 53.382 53.112 53.229 53.323 52.896 53.202 52.713 52.707
 52.471 51.694 53.18  51.952 50.085 50.531 52.262 52.997 52.712 53.233
 53.112 53.399 53.557 53.147]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.    0.    0.    0.    0.    0.    0.    0.    0.12  0.439 0.712 0.668
 0.597 1.116 3.265 2.781 0.946 0.485 0.039 0.    0.    0.    0.    0.   ]",11.168000000000001,1276.257
2015-10-19,45.664,42476.75,3112.721417849058,1771.76725,91.26697407,93.4736949,2.2067208299999947,1.0,0.023058212594659913,"[ 53.711  53.199  53.523  53.562  53.061  53.562  52.835  53.333  86.227
  99.1   111.809 110.132  98.824 138.022 140.164 139.179 104.474  99.73
  87.045  66.334  64.627  54.548  53.907  53.807]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.    0.    0.    0.    0.    0.    0.    0.    0.085 1.761 4.364 7.482
 9.451 9.544 5.077 2.648 3.722 1.455 0.075 0.    0.    0.    0.    0.   ]",45.664,1980.379
2015-10-20,60.848000000000006,28226.75,2104.0250595703465,1178.6499166666667,76.69134401999997,79.11947845999998,2.428134440000008,1.0,0.03244077830570934,"[ 53.924  51.449  50.712  50.936  50.719  51.045  50.833  56.29   72.618
  70.689  87.778  97.937  89.296  98.044  82.647 124.093 133.246 130.348
 104.046  69.592  65.309  60.194  58.859  54.212]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 5.0000e-03 4.4000e-01 1.1700e+00 3.7800e+00 5.1700e+00
 1.1907e+01 1.2318e+01 1.1037e+01 8.4500e+00 5.0060e+00 1.5260e+00
 3.9000e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",60.848000000000006,1875.6639999999998
2015-10-21,17.991,43328.5,3201.490319298635,1806.1037916666664,85.69080728,86.45644055,0.765633269999995,1.0,0.00868172509173453,"[ 53.512  54.191  53.863  53.926  54.141  53.344  53.553  67.75  102.272
 137.278 128.153 137.12  134.694 122.742 133.143 124.014 115.674  89.944
  83.366  66.877  67.004  59.818  53.755  54.159]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.    0.    0.    0.    0.    0.    0.    0.    0.249 0.745 1.375 1.878
 2.696 3.496 2.655 2.768 1.452 0.642 0.035 0.    0.    0.    0.    0.   ]",17.991,2072.284
2015-10-22,38.86700000000001,15728.75,1171.0759531084545,656.9840416666667,62.17519987000001,63.34069647000001,1.1654966000000044,1.0,0.020936657816246318,"[ 53.92   53.435  52.702  50.725  52.24   53.742  53.35   79.275 114.641
 114.754 119.399 113.311 110.19  120.373 117.338  77.     72.756  68.157
  64.428  58.213  55.813  53.732  54.177  53.871]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 2.5800e-01 2.2440e+00 3.4120e+00 7.8240e+00
 1.0669e+01 6.4850e+00 3.7910e+00 2.5570e+00 1.3450e+00 2.7600e-01
 6.0000e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",38.86700000000001,1856.409
2015-10-23,23.288999999999987,58908.25,4361.340247942994,2455.480791666667,59.077352360000006,59.94936434,0.8720119799999964,1.0,0.015108472330976026,"[53.869 54.146 53.624 53.802 53.673 53.488 53.884 53.437 77.455 94.368
 87.287 90.677 88.647 82.124 62.832 59.568 57.639 55.528 58.062 56.421
 54.667 54.498 54.195 54.273]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.    0.    0.    0.    0.    0.    0.    0.    0.297 1.44  2.822 2.241
 3.011 6.764 2.419 2.361 1.4   0.519 0.015 0.    0.    0.    0.    0.   ]",23.288999999999987,1541.453
2015-10-24,45.886999999999986,75561.75,5589.4954510551415,3150.3182083333336,17.05173285000001,16.17195890000001,-0.8797739500000006,1.0,0.03524393175640541,"[54.073 54.159 54.441 53.966 54.229 54.111 53.563 54.157 53.126 52.506
 51.329 49.305 44.063 44.803 46.925 47.072 51.593 55.827 55.857 54.145
 54.067 54.439 54.011 54.329]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 1.0000e-03 3.0200e-01 1.6330e+00 2.3610e+00 5.0700e+00
 1.0262e+01 9.3310e+00 7.3570e+00 6.5980e+00 2.3850e+00 5.7000e-01
 1.7000e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",45.886999999999986,1301.983
2015-10-26,19.633999999999986,77985.5,5818.600612123911,3250.213916666667,68.48433737000002,69.23052250000003,0.7461851300000149,1.0,0.011655006120154467,"[ 54.024  54.417  54.636  54.275  54.165  54.391  54.518  53.976  75.508
  85.218  84.239  88.291  91.083 106.499 119.865 109.305  73.798  63.004
  60.448  62.775  55.251  52.036  51.02   52.222]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.    0.    0.    0.    0.    0.    0.    0.07  0.436 0.678 1.105 1.301
 1.96  2.322 6.503 4.165 1.075 0.019 0.    0.    0.    0.    0.    0.   ]",19.633999999999986,1684.5980000000009
