Building,Scenario,Daily_Cost_EUR,Savings_EUR,Savings_Pct,Peak_Reduction_Pct,Load_Shifted_kWh,User_Satisfaction
residential6,Baseline,0.01,0.00,0.0%,0.0%,0.00,100%
residential6,Cost-Optimized,0.01,0.00,14.7%,-11.1%,0.07,65%
residential6,User-Preference,0.01,0.00,8.8%,-6.7%,0.03,85%
residential1,Baseline,1.35,0.00,0.0%,0.0%,0.00,100%
residential1,Cost-Optimized,1.20,0.15,10.9%,6.7%,6.81,65%
residential1,User-Preference,1.26,0.09,6.6%,4.0%,3.40,85%
residential2,Baseline,0.11,0.00,0.0%,0.0%,0.00,100%
residential2,Cost-Optimized,0.09,0.01,10.8%,0.5%,0.67,65%
residential2,User-Preference,0.10,0.01,6.5%,0.3%,0.34,85%
residential5,Baseline,0.02,0.00,0.0%,0.0%,0.00,100%
residential5,Cost-Optimized,0.01,0.01,8.5%,8.6%,0.31,65%
residential5,User-Preference,0.01,0.01,4.8%,5.2%,0.16,85%
residential4,Baseline,0.06,0.00,0.0%,0.0%,0.00,100%
residential4,Cost-Optimized,0.06,0.00,5.9%,2.0%,0.20,65%
residential4,User-Preference,0.06,0.00,3.5%,1.2%,0.10,85%
residential3,Baseline,0.14,0.00,0.0%,0.0%,0.00,100%
residential3,Cost-Optimized,0.13,0.01,9.8%,5.9%,0.70,65%
residential3,User-Preference,0.13,0.01,5.8%,3.5%,0.35,85%
industrial3,Baseline,43.37,0.00,0.0%,0.0%,0.00,100%
industrial3,Cost-Optimized,36.44,6.93,16.5%,-18.6%,291.68,65%
industrial3,User-Preference,39.21,4.16,9.9%,-11.1%,145.84,85%
